Cell,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,
0,1,,,,,,,,,,,,,,,,,
1,0,0,0,,,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,
4,0,0,,,,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,,,,,
6,1,,,,,,,,,,,,,,,,,
7,1,1,,,,,,,,,,,,,,,,
8,1,,,,,,,,,,,,,,,,,
9,1,1,,,,,,,,,,,,,,,,
10,0,1,,,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,,,,,
12,1,,,,,,,,,,,,,,,,,
13,1,1,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,
15,1,1,,,,,,,,,,,,,,,,
16,1,1,1,,,,,,,,,,,,,,,
17,0,1,1,1,,,,,,,,,,,,,,
18,1,1,1,1,,,,,,,,,,,,,,
19,1,0,0,0,,,,,,,,,,,,,,
20,1,1,1,1,,,,,,,,,,,,,,
21,1,1,,,,,,,,,,,,,,,,
22,1,1,,,,,,,,,,,,,,,,
23,1,0,1,,,,,,,,,,,,,,,
24,0,0,,,,,,,,,,,,,,,,
25,1,,,,,,,,,,,,,,,,,
26,1,1,,,,,,,,,,,,,,,,
27,1,1,0,1,,,,,,,,,,,,,,
28,1,1,0,1,,,,,,,,,,,,,,
29,1,1,1,0,,,,,,,,,,,,,,
30,1,1,,,,,,,,,,,,,,,,
31,1,1,,,,,,,,,,,,,,,,
32,1,1,1,,,,,,,,,,,,,,,
33,1,0,1,1,,,,,,,,,,,,,,
34,1,1,,,,,,,,,,,,,,,,
35,1,1,1,1,,,,,,,,,,,,,,
36,1,1,1,,,,,,,,,,,,,,,
37,1,1,,,,,,,,,,,,,,,,
38,1,1,1,1,1,,,,,,,,,,,,,
39,1,1,1,0,,,,,,,,,,,,,,
40,1,1,1,,,,,,,,,,,,,,,
41,1,1,1,1,1,1,1,,,,,,,,,,,
42,1,0,1,,,,,,,,,,,,,,,
43,1,,,,,,,,,,,,,,,,,
44,1,1,1,1,1,,,,,,,,,,,,,
45,1,1,,,,,,,,,,,,,,,,
46,1,0,1,,,,,,,,,,,,,,,
47,1,1,1,,,,,,,,,,,,,,,
48,1,0,,,,,,,,,,,,,,,,
49,1,1,,,,,,,,,,,,,,,,
50,0,0,0,,,,,,,,,,,,,,,
51,1,1,,,,,,,,,,,,,,,,
52,0,,,,,,,,,,,,,,,,,
53,0,,,,,,,,,,,,,,,,,
54,1,1,,,,,,,,,,,,,,,,
55,1,,,,,,,,,,,,,,,,,
56,1,1,1,,,,,,,,,,,,,,,
57,1,0,,,,,,,,,,,,,,,,
58,1,0,0,,,,,,,,,,,,,,,
59,0,0,,,,,,,,,,,,,,,,
60,1,1,0,,,,,,,,,,,,,,,
61,1,,,,,,,,,,,,,,,,,
62,1,,,,,,,,,,,,,,,,,
63,1,1,1,1,0,,,,,,,,,,,,,
64,1,1,1,1,,,,,,,,,,,,,,
65,1,1,,,,,,,,,,,,,,,,
66,1,1,,,,,,,,,,,,,,,,
67,0,0,0,0,0,0,0,,,,,,,,,,,
68,1,1,0,,,,,,,,,,,,,,,
69,1,0,1,0,,,,,,,,,,,,,,
70,1,1,1,1,1,0,0,,,,,,,,,,,
71,0,0,0,,,,,,,,,,,,,,,
72,1,0,0,,,,,,,,,,,,,,,
73,1,1,1,0,,,,,,,,,,,,,,
74,0,0,0,,,,,,,,,,,,,,,
75,0,,,,,,,,,,,,,,,,,
76,1,1,1,0,0,,,,,,,,,,,,,
77,1,1,1,1,,,,,,,,,,,,,,
78,1,0,0,0,,,,,,,,,,,,,,
79,1,1,0,1,,,,,,,,,,,,,,
80,1,1,1,1,1,,,,,,,,,,,,,
81,1,1,0,0,,,,,,,,,,,,,,
82,1,0,0,,,,,,,,,,,,,,,
83,0,,,,,,,,,,,,,,,,,
84,0,0,0,0,0,0,,,,,,,,,,,,
85,0,1,1,1,,,,,,,,,,,,,,
86,1,1,1,1,1,1,,,,,,,,,,,,
87,1,1,0,0,0,,,,,,,,,,,,,
88,1,1,0,,,,,,,,,,,,,,,
89,0,0,0,0,,,,,,,,,,,,,,
90,0,0,0,0,0,,,,,,,,,,,,,
91,0,1,1,1,1,0,1,1,0,,,,,,,,,
92,0,0,0,1,1,,,,,,,,,,,,,
93,0,1,0,0,,,,,,,,,,,,,,
94,0,0,0,0,0,0,0,,,,,,,,,,,
95,0,,,,,,,,,,,,,,,,,
96,1,0,0,0,,,,,,,,,,,,,,
97,1,1,1,0,0,0,,,,,,,,,,,,
98,1,1,1,,,,,,,,,,,,,,,
99,0,1,1,1,0,,,,,,,,,,,,,
100,0,0,0,0,,,,,,,,,,,,,,
101,0,0,0,0,0,1,1,1,1,1,1,,,,,,,
102,1,1,1,0,0,0,0,,,,,,,,,,,
103,1,1,0,0,,,,,,,,,,,,,,
104,0,1,1,1,1,0,0,0,,,,,,,,,,
105,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
106,0,1,0,,,,,,,,,,,,,,,
107,0,0,0,0,0,0,0,0,0,,,,,,,,,
108,0,0,1,0,0,0,,,,,,,,,,,,
109,1,1,1,,,,,,,,,,,,,,,
110,1,1,0,1,,,,,,,,,,,,,,
111,0,0,0,0,0,0,0,0,1,,,,,,,,,
112,0,0,0,0,0,0,0,0,,,,,,,,,,
113,1,0,0,1,0,1,,,,,,,,,,,,
114,0,1,1,0,1,0,,,,,,,,,,,,
115,0,1,0,,,,,,,,,,,,,,,
116,0,0,,,,,,,,,,,,,,,,
117,1,1,1,1,1,,,,,,,,,,,,,
118,1,1,1,0,1,0,0,,,,,,,,,,,
119,1,1,0,0,0,0,0,0,,,,,,,,,,
120,0,0,0,0,0,0,0,0,,,,,,,,,,
121,1,1,0,0,,,,,,,,,,,,,,
122,1,1,0,,,,,,,,,,,,,,,
123,1,0,0,,,,,,,,,,,,,,,
124,1,1,1,1,0,0,,,,,,,,,,,,
125,1,1,1,0,,,,,,,,,,,,,,
126,1,,,,,,,,,,,,,,,,,
127,1,1,0,,,,,,,,,,,,,,,
128,1,1,1,1,,,,,,,,,,,,,,
129,0,1,1,1,1,0,0,,,,,,,,,,,
130,1,1,1,1,1,1,1,1,,,,,,,,,,
131,1,1,1,1,1,,,,,,,,,,,,,
132,1,1,1,1, , ,,,,,,,,,,,,
133,1,0,0,,,,,,,,,,,,,,,
134,1,1,0,,,,,,,,,,,,,,,
135,1,0,0,,,,,,,,,,,,,,,
136,1,0,0,0,0,,,,,,,,,,,,,
137,1,0,1,0,1,0,,,,,,,,,,,,
138,1,1,0,0,0,0,,,,,,,,,,,,
139,1,0,1,1,,,,,,,,,,,,,,
140,1,0,1,1,,,,,,,,,,,,,,
141,1,1,1,,,,,,,,,,,,,,,
142,0,1,1,,,,,,,,,,,,,,,
143,1,0,,,,,,,,,,,,,,,,
144,1,1,0,1,0,0,,,,,,,,,,,,
145,1,0,0,1,,,,,,,,,,,,,,
146,1,1,1,1,1,,,,,,,,,,,,,
147,1,1,1,0,,,,,,,,,,,,,,
148,1,1,1,0,,,,,,,,,,,,,,
149,1,1,1,1,1,1,1,1,,,,,,,,,,
150,1,1,1,0,0,1,,,,,,,,,,,,
151,0,0,0,,,,,,,,,,,,,,,
152,1,,,,,,,,,,,,,,,,,
153,0,0,0,0,,,,,,,,,,,,,,
154,1,0,0,0,,,,,,,,,,,,,,
155,1,1,,,,,,,,,,,,,,,,
156,1,1,1,,,,,,,,,,,,,,,
157,1,1,1,,,,,,,,,,,,,,,
158,0,0,0,0,0,1,,,,,,,,,,,,
159,1,1,,,,,,,,,,,,,,,,
160,1,1,1,1,1,,,,,,,,,,,,,
161,1,1,1,,,,,,,,,,,,,,,
162,1,1,0,,,,,,,,,,,,,,,
163,0,,,,,,,,,,,,,,,,,
164,0,1,1,1,1,,,,,,,,,,,,,
165,1,1,1,0,1,,,,,,,,,,,,,
166,1,1,1,0,1,0,1,1,0,,,,,,,,,
167,1,0,,,,,,,,,,,,,,,,
168,0,0,0,0,,,,,,,,,,,,,,
169,1,0,0,,,,,,,,,,,,,,,
170,1,1,1,1,,,,,,,,,,,,,,
171,1,0,1,0,,,,,,,,,,,,,,
172,1,1,1,1,1,,,,,,,,,,,,,
173,1,1,1,0,0,0,,,,,,,,,,,,
174,1,0,,,,,,,,,,,,,,,,
175,1,1,1,,,,,,,,,,,,,,,
176,1,,,,,,,,,,,,,,,,,
177,1,1,1,,,,,,,,,,,,,,,
178,1,0,,,,,,,,,,,,,,,,
179,1,1,0,,,,,,,,,,,,,,,
180,1,1,0,0,0,0,0,,,,,,,,,,,
181,0,0,,,,,,,,,,,,,,,,
182,0,0,0,0,0,0,0,0,,,,,,,,,,
183,1,0,0,0,,,,,,,,,,,,,,
184,0,1,0,1,,,,,,,,,,,,,,
185,0,1,0,,,,,,,,,,,,,,,
186,1,1,0,,,,,,,,,,,,,,,
187,1,1,1,,,,,,,,,,,,,,,
188,1,1,,,,,,,,,,,,,,,,
189,0,0,0,,,,,,,,,,,,,,,
190,1,1,1,0,0,,,,,,,,,,,,,
191,1,1,,,,,,,,,,,,,,,,
192,0,0,0,0,0,,,,,,,,,,,,,
193,1,0,0,0,0,0,0,0,0,0,,,,,,,,
194,1,1,,,,,,,,,,,,,,,,
195,1,,,,,,,,,,,,,,,,,
196,0,0,0,,,,,,,,,,,,,,,
197,0,0,0,,,,,,,,,,,,,,,
198,1,0,0,,,,,,,,,,,,,,,
199,1,1,0,0,0,,,,,,,,,,,,,
200,0,0,0,0,0,0,,,,,,,,,,,,
201,1,1,,,,,,,,,,,,,,,,
202,1,1,1,,,,,,,,,,,,,,,
203,0,0,1,,,,,,,,,,,,,,,
204,1,0,,,,,,,,,,,,,,,,
205,1,,,,,,,,,,,,,,,,,
206,1,1,,,,,,,,,,,,,,,,
207,0,,,,,,,,,,,,,,,,,
208,1,0,0,,,,,,,,,,,,,,,
209,1,,,,,,,,,,,,,,,,,
210,1,1,1,1,,,,,,,,,,,,,,
211,1,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,
213,1,1,,,,,,,,,,,,,,,,
214,1,,,,,,,,,,,,,,,,,
215,1,0,1,,,,,,,,,,,,,,,
216,1,,,,,,,,,,,,,,,,,
217,1,1,1,1,,,,,,,,,,,,,,
218,1,1,1,0,,,,,,,,,,,,,,
219,1,0,0,0,0,0,0,0,,,,,,,,,,
220,1,1,0,1,,,,,,,,,,,,,,
221,1,1,1,1,1,,,,,,,,,,,,,
222,0,0,,,,,,,,,,,,,,,,
223,1,1,,,,,,,,,,,,,,,,
224,0,1,1,,,,,,,,,,,,,,,
225,0,0,0,0,0,,,,,,,,,,,,,
226,1,,,,,,,,,,,,,,,,,
227,0,0,,,,,,,,,,,,,,,,
228,1,,,,,,,,,,,,,,,,,
229,1,0,0,0,0,,,,,,,,,,,,,
230,1,,,,,,,,,,,,,,,,,
231,1,1,1,,,,,,,,,,,,,,,
232,0,,,,,,,,,,,,,,,,,
233,1,,,,,,,,,,,,,,,,,
234,1,,,,,,,,,,,,,,,,,
235,1,0,0,,,,,,,,,,,,,,,
236,1,0,,,,,,,,,,,,,,,,
237,0,,,,,,,,,,,,,,,,,
238,0,1,,,,,,,,,,,,,,,,
239,1,1,0,,,,,,,,,,,,,,,
240,1,,,,,,,,,,,,,,,,,
241,1,0,,,,,,,,,,,,,,,,
242,1,1,,,,,,,,,,,,,,,,
243,0,,,,,,,,,,,,,,,,,
244,0,0,,,,,,,,,,,,,,,,
245,1,1,,,,,,,,,,,,,,,,
