Donor,cell_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0,1,,,,,,,,,,,,,,,,,
0,1,0,0,0,,,,,,,,,,,,,,,
0,2,1,,,,,,,,,,,,,,,,,
0,3,,,,,,,,,,,,,,,,,,
0,4,0,0,,,,,,,,,,,,,,,,
0,5,1,,,,,,,,,,,,,,,,,
0,6,1,,,,,,,,,,,,,,,,,
0,7,1,1,,,,,,,,,,,,,,,,
0,8,1,,,,,,,,,,,,,,,,,
0,9,1,1,,,,,,,,,,,,,,,,
0,10,0,1,,,,,,,,,,,,,,,,
0,11,1,,,,,,,,,,,,,,,,,
0,12,1,,,,,,,,,,,,,,,,,
0,13,1,1,,,,,,,,,,,,,,,,
0,14,,,,,,,,,,,,,,,,,,
1,0,1,1,,,,,,,,,,,,,,,,
1,1,1,1,1,,,,,,,,,,,,,,,
1,2,0,1,1,1,,,,,,,,,,,,,,
1,3,1,1,1,1,,,,,,,,,,,,,,
1,4,1,0,0,0,,,,,,,,,,,,,,
1,5,1,1,1,1,,,,,,,,,,,,,,
1,6,1,1,,,,,,,,,,,,,,,,
1,7,1,1,,,,,,,,,,,,,,,,
1,8,1,0,1,,,,,,,,,,,,,,,
1,9,0,0,,,,,,,,,,,,,,,,
1,10,1,,,,,,,,,,,,,,,,,
1,11,1,1,,,,,,,,,,,,,,,,
1,12,1,1,0,1,,,,,,,,,,,,,,
1,13,1,1,0,1,,,,,,,,,,,,,,
1,14,1,1,1,0,,,,,,,,,,,,,,
1,15,1,1,,,,,,,,,,,,,,,,
1,16,1,1,,,,,,,,,,,,,,,,
1,17,1,1,1,,,,,,,,,,,,,,,
1,18,1,0,1,1,,,,,,,,,,,,,,
1,19,1,1,,,,,,,,,,,,,,,,
1,20,1,1,1,1,,,,,,,,,,,,,,
1,21,1,1,1,,,,,,,,,,,,,,,
1,22,1,1,,,,,,,,,,,,,,,,
1,23,1,1,1,1,1,,,,,,,,,,,,,
1,24,1,1,1,0,,,,,,,,,,,,,,
1,25,1,1,1,,,,,,,,,,,,,,,
1,26,1,1,1,1,1,1,1,,,,,,,,,,,
1,27,1,0,1,,,,,,,,,,,,,,,
1,28,1,,,,,,,,,,,,,,,,,
