Donor,cell_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0,0,0,0,0,,,,,,,,,,,,,,
0,1,0,0,0,,,,,,,,,,,,,,,
0,2,1,,,,,,,,,,,,,,,,,
0,3,0,0,,,,,,,,,,,,,,,,
0,4,1,0,,,,,,,,,,,,,,,,
0,5,0,,,,,,,,,,,,,,,,,
0,6,0,,,,,,,,,,,,,,,,,
0,7,0,,,,,,,,,,,,,,,,,
0,8,1,1,,,,,,,,,,,,,,,,
0,9,1,1,,,,,,,,,,,,,,,,
0,10,0,0,,,,,,,,,,,,,,,,
0,11,1,1,1,,,,,,,,,,,,,,,
0,12,0,0,1,,,,,,,,,,,,,,,
0,13,0,,,,,,,,,,,,,,,,,
0,14,1,1,,,,,,,,,,,,,,,,
0,15,0,0,,,,,,,,,,,,,,,,
0,16,,,,,,,,,,,,,,,,,,
0,17,,,,,,,,,,,,,,,,,,
0,18,0,0,0,0,0,0,0,,,,,,,,,,,
0,19,1,,,,,,,,,,,,,,,,,
0,20,0,,,,,,,,,,,,,,,,,
0,21,0,0,,,,,,,,,,,,,,,,
0,22,0,0,0,,,,,,,,,,,,,,,
0,23,1,,,,,,,,,,,,,,,,,
0,24,0,,,,,,,,,,,,,,,,,
0,25,0,0,0,,,,,,,,,,,,,,,
0,26,1,,,,,,,,,,,,,,,,,
0,27,0,0,0,0,,,,,,,,,,,,,,
0,28,0,1,,,,,,,,,,,,,,,,
0,29,0,0,,,,,,,,,,,,,,,,
0,30,1,,,,,,,,,,,,,,,,,
0,31,0,0,0,,,,,,,,,,,,,,,
0,32,0,1,,,,,,,,,,,,,,,,
0,33,,,,,,,,,,,,,,,,,,
0,34,0,0,0,,,,,,,,,,,,,,,
0,35,1,,,,,,,,,,,,,,,,,
0,36,0,0,0,,,,,,,,,,,,,,,
0,37,1,,,,,,,,,,,,,,,,,
0,38,,,,,,,,,,,,,,,,,,
0,39,0,,,,,,,,,,,,,,,,,
0,40,0,,,,,,,,,,,,,,,,,
0,41,1,,,,,,,,,,,,,,,,,
0,42,0,,,,,,,,,,,,,,,,,
0,43,0,0,0,,,,,,,,,,,,,,,
0,44,1,,,,,,,,,,,,,,,,,
0,45,0,1,,,,,,,,,,,,,,,,
0,46,1,,,,,,,,,,,,,,,,,
0,47,1,,,,,,,,,,,,,,,,,
0,48,1,,,,,,,,,,,,,,,,,
0,49,1,0,,,,,,,,,,,,,,,,
0,50,0,,,,,,,,,,,,,,,,,
0,51,0,,,,,,,,,,,,,,,,,
0,52,1,,,,,,,,,,,,,,,,,
0,53,1,,,,,,,,,,,,,,,,,
0,54,1,,,,,,,,,,,,,,,,,
0,55,0,0,,,,,,,,,,,,,,,,
0,56,0,0,0,0,1,,,,,,,,,,,,,
0,57,0,0,1,,,,,,,,,,,,,,,
0,58,0,0,1,,,,,,,,,,,,,,,
0,59,0,1,0,,,,,,,,,,,,,,,
0,60,0,0,,,,,,,,,,,,,,,,
0,61,0,0,,,,,,,,,,,,,,,,
0,62,,,,,,,,,,,,,,,,,,
0,63,1,,,,,,,,,,,,,,,,,
1,0,1,1,1,,,,,,,,,,,,,,,
1,1,1,1,,,,,,,,,,,,,,,,
1,2,1,1,,,,,,,,,,,,,,,,
1,3,1,1,1,,,,,,,,,,,,,,,
1,4,0,0,0,0,,,,,,,,,,,,,,
1,5,1,,,,,,,,,,,,,,,,,
1,6,1,1,0,,,,,,,,,,,,,,,
1,7,1,1,1,0,1,,,,,,,,,,,,,
1,8,1,0,,,,,,,,,,,,,,,,
1,9,1,1,,,,,,,,,,,,,,,,
1,10,1,0,0,0,0,,,,,,,,,,,,,
1,11,1,1,,,,,,,,,,,,,,,,
1,12,1,,,,,,,,,,,,,,,,,
1,13,1,1,0,,,,,,,,,,,,,,,
1,14,0,0,1,,,,,,,,,,,,,,,
1,15,0,1,0,,,,,,,,,,,,,,,
1,16,0,0,0,0,0,0,,,,,,,,,,,,
1,17,1,,,,,,,,,,,,,,,,,
1,18,1,1,,,,,,,,,,,,,,,,
1,19,0,1,1,,,,,,,,,,,,,,,
1,20,1,0,0,,,,,,,,,,,,,,,
1,21,1,,,,,,,,,,,,,,,,,
1,22,1,1,1,1,,,,,,,,,,,,,,
1,23,0,1,0,,,,,,,,,,,,,,,
