Donor,cell_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0,1,,,,,,,,,,,,,,,,,
0,1,1,,,,,,,,,,,,,,,,,
0,2,1,,,,,,,,,,,,,,,,,
0,3,,,,,,,,,,,,,,,,,,
0,4,,,,,,,,,,,,,,,,,,
0,5,1,,,,,,,,,,,,,,,,,
0,6,,,,,,,,,,,,,,,,,,
0,7,1,1,,,,,,,,,,,,,,,,
0,8,1,1,,,,,,,,,,,,,,,,
0,9,1,,,,,,,,,,,,,,,,,
0,10,1,1,,,,,,,,,,,,,,,,
0,11,1,,,,,,,,,,,,,,,,,
0,12,1,,,,,,,,,,,,,,,,,
0,13,,,,,,,,,,,,,,,,,,
0,14,1,0,1,,,,,,,,,,,,,,,
0,15,0,,,,,,,,,,,,,,,,,
0,16,,,,,,,,,,,,,,,,,,
0,17,1,1,,,,,,,,,,,,,,,,
0,18,1,,,,,,,,,,,,,,,,,
0,19,0,1,,,,,,,,,,,,,,,,
0,20,1,1,1,,,,,,,,,,,,,,,
0,21,1,,,,,,,,,,,,,,,,,
0,22,0,,,,,,,,,,,,,,,,,
0,23,1,0,0,0,,,,,,,,,,,,,,
0,24,0,,,,,,,,,,,,,,,,,
0,25,0,,,,,,,,,,,,,,,,,
0,26,0,,,,,,,,,,,,,,,,,
0,27,0,0,0,0,0,,,,,,,,,,,,,
0,28,1,1,,,,,,,,,,,,,,,,
0,29,,,,,,,,,,,,,,,,,,
0,30,,,,,,,,,,,,,,,,,,
0,31,,,,,,,,,,,,,,,,,,
0,32,,,,,,,,,,,,,,,,,,
0,33,1,1,,,,,,,,,,,,,,,,
0,34,1,1,1,,,,,,,,,,,,,,,
0,35,0,,,,,,,,,,,,,,,,,
0,36,0,,,,,,,,,,,,,,,,,
1,0,1,1,1,0,0,,,,,,,,,,,,,
1,1,1,0,,,,,,,,,,,,,,,,
1,2,0,0,0,1,0,0,,,,,,,,,,,,
1,3,0,1,0,0,0,,,,,,,,,,,,,
