Cell,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,
0,0,0,0,0,,,,,,,,,,,,,,
1,0,0,0,,,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,,,,,
3,0,0,,,,,,,,,,,,,,,,
4,1,0,,,,,,,,,,,,,,,,
5,0,,,,,,,,,,,,,,,,,
6,0,,,,,,,,,,,,,,,,,
7,0,,,,,,,,,,,,,,,,,
8,1,1,,,,,,,,,,,,,,,,
9,1,1,,,,,,,,,,,,,,,,
10,0,0,,,,,,,,,,,,,,,,
11,1,1,1,,,,,,,,,,,,,,,
12,0,0,1,,,,,,,,,,,,,,,
13,0,,,,,,,,,,,,,,,,,
14,1,1,,,,,,,,,,,,,,,,
15,0,0,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,
18,0,0,0,0,0,0,0,,,,,,,,,,,
19,1,,,,,,,,,,,,,,,,,
20,0,,,,,,,,,,,,,,,,,
21,0,0,,,,,,,,,,,,,,,,
22,0,0,0,,,,,,,,,,,,,,,
23,1,,,,,,,,,,,,,,,,,
24,0,,,,,,,,,,,,,,,,,
25,0,0,0,,,,,,,,,,,,,,,
26,1,,,,,,,,,,,,,,,,,
27,0,0,0,0,,,,,,,,,,,,,,
28,0,1,,,,,,,,,,,,,,,,
29,0,0,,,,,,,,,,,,,,,,
30,1,,,,,,,,,,,,,,,,,
31,0,0,0,,,,,,,,,,,,,,,
32,0,1,Na,,,,,,,,,,,,,,,
33,Na,Na,Na,,,,,,,,,,,,,,,
34,0,0,0,,,,,,,,,,,,,,,
35,1,Na,Na,,,,,,,,,,,,,,,
36,0,0,0,,,,,,,,,,,,,,,
37,1,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,
39,0,,,,,,,,,,,,,,,,,
40,0,,,,,,,,,,,,,,,,,
41,1,,,,,,,,,,,,,,,,,
42,0,,,,,,,,,,,,,,,,,
43,0,0,0,,,,,,,,,,,,,,,
44,1,,,,,,,,,,,,,,,,,
45,0,1,,,,,,,,,,,,,,,,
46,1,,,,,,,,,,,,,,,,,
47,1,,,,,,,,,,,,,,,,,
48,1,,,,,,,,,,,,,,,,,
49,1,0,,,,,,,,,,,,,,,,
50,0,,,,,,,,,,,,,,,,,
51,0,,,,,,,,,,,,,,,,,
52,1,,,,,,,,,,,,,,,,,
53,1,,,,,,,,,,,,,,,,,
54,1,,,,,,,,,,,,,,,,,
55,0,0,,,,,,,,,,,,,,,,
56,0,0,0,0,1,,,,,,,,,,,,,
57,0,0,1,,,,,,,,,,,,,,,
