Cell,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,
0,1,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,
7,1,1,,,,,,,,,,,,,,,,
8,1,1,,,,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,,,,,
10,1,1,,,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,,,,,
12,1,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,
14,1,0,1,,,,,,,,,,,,,,,
15,0,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,
17,1,1,,,,,,,,,,,,,,,,
18,1,,,,,,,,,,,,,,,,,
19,0,1,,,,,,,,,,,,,,,,
20,1,1,1,,,,,,,,,,,,,,,
21,1,,,,,,,,,,,,,,,,,
22,0,,,,,,,,,,,,,,,,,
23,1,0,0,0,,,,,,,,,,,,,,
24,0,,,,,,,,,,,,,,,,,
25,0,,,,,,,,,,,,,,,,,
26,0,,,,,,,,,,,,,,,,,
27,0,0,0,0,0,,,,,,,,,,,,,
28,1,1,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,
33,1,1,,,,,,,,,,,,,,,,
34,1,1,1,,,,,,,,,,,,,,,
35,0,,,,,,,,,,,,,,,,,
36,0,,,,,,,,,,,,,,,,,
37,1,1,1,0,0,,,,,,,,,,,,,
38,1,0,,,,,,,,,,,,,,,,
39,0,0,0,1,0,0,,,,,,,,,,,,
40,0,1,0,0,0,,,,,,,,,,,,,
41,0,0,0,0,0,0,0,0,0,,,,,,,,,
42,0,0,0,,,,,,,,,,,,,,,
43,0,0,1,0,,,,,,,,,,,,,,
44,0,0,0,0,,,,,,,,,,,,,,
45,0,0,0,0,0,0,0,0,,,,,,,,,,
46,0,0,0,0,0,0,0,,,,,,,,,,,
47,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
48,0,1,1,0,,,,,,,,,,,,,,
49,0,1,1,1,,,,,,,,,,,,,,
50,0,0,1,0,0,,,,,,,,,,,,,
51,0,0,0,0,0,,,,,,,,,,,,,
52,1,0,0,0,,,,,,,,,,,,,,
53,0,1,0,1,,,,,,,,,,,,,,
54,1,0,1,1,,,,,,,,,,,,,,
55,1,1,,,,,,,,,,,,,,,,
56,1,0,0,,,,,,,,,,,,,,,
57,0,0,0,0,0,0,0,0,0,,,,,,,,,
58,0,0,,,,,,,,,,,,,,,,
59,0,0,0,,,,,,,,,,,,,,,
60,0,0,0,0,0,,,,,,,,,,,,,
61,1,1,1,0,0,0,,,,,,,,,,,,
62,0,0,1,1,1,,,,,,,,,,,,,
63,1,1,1,,,,,,,,,,,,,,,
64,1,1,0,0,,,,,,,,,,,,,,
65,1,1,1,1,0,,,,,,,,,,,,,
66,1,1,1,,,,,,,,,,,,,,,
67,1,1,1,0,0,,,,,,,,,,,,,
68,1,1,0,,,,,,,,,,,,,,,
69,0,0,0,,,,,,,,,,,,,,,
70,0,0,0,0,0,,,,,,,,,,,,,
71,0,0,0,0,1,0,,,,,,,,,,,,
72,1,,,,,,,,,,,,,,,,,
73,1,1,0,0,,,,,,,,,,,,,,
74,0,1,0,0,0,,,,,,,,,,,,,
75,0,0,0,0,0,0,0,0,0,0,,,,,,,,
76,1,1,1,1,1,,,,,,,,,,,,,
77,1,1,0,,,,,,,,,,,,,,,
78,1,1,1,0,1,0,,,,,,,,,,,,
79,1,0,0,0,0,1,,,,,,,,,,,,
80,1,1,1,1,0,0,1,,,,,,,,,,,
81,0,1,1,0,1,,,,,,,,,,,,,
82,0,0,0,,,,,,,,,,,,,,,
83,0,,,,,,,,,,,,,,,,,
84,1,,,,,,,,,,,,,,,,,
85,0,,,,,,,,,,,,,,,,,
86,0,0,0,,,,,,,,,,,,,,,
87,1,1,,,,,,,,,,,,,,,,
88,1,0,,,,,,,,,,,,,,,,
89,1,1,1,1,1,,,,,,,,,,,,,
90,1,1,1,,,,,,,,,,,,,,,
91,1,,,,,,,,,,,,,,,,,
92,1,0,1,,,,,,,,,,,,,,,
93,1,0,,,,,,,,,,,,,,,,
94,1,0,1,,,,,,,,,,,,,,,
95,1,1,1,1,1,0,,,,,,,,,,,,
96,1,1,1,1,,,,,,,,,,,,,,
97,1,,,,,,,,,,,,,,,,,
98,1,1,,,,,,,,,,,,,,,,
99,1,1,0,1,,,,,,,,,,,,,,
100,1,1,1,1,,,,,,,,,,,,,,
101,0,1,0,,,,,,,,,,,,,,,
102,1,0,,,,,,,,,,,,,,,,
103,1,1,1,,,,,,,,,,,,,,,
104,1,1,1,,,,,,,,,,,,,,,
105,1,1,0,,,,,,,,,,,,,,,
106,1,1,1,0,,,,,,,,,,,,,,
107,1,,,,,,,,,,,,,,,,,
108,0,1,1,1,0,,,,,,,,,,,,,
109,1,0,0,0,1,,,,,,,,,,,,,
110,1,1,,,,,,,,,,,,,,,,
111,1,0,,,,,,,,,,,,,,,,
112,1,1,,,,,,,,,,,,,,,,
113,0,0,0,0,0,0,0,1,,,,,,,,,,
114,1,,,,,,,,,,,,,,,,,
115,0,,,,,,,,,,,,,,,,,
116,1,0,,,,,,,,,,,,,,,,
117,1,0,,,,,,,,,,,,,,,,
118,1,,,,,,,,,,,,,,,,,
119,0,0,0,0,,,,,,,,,,,,,,
120,0,,,,,,,,,,,,,,,,,
121,1,1,,,,,,,,,,,,,,,,
122,1,1,,,,,,,,,,,,,,,,
123,1,1,1,1,1,,,,,,,,,,,,,
124,1,1,1,,,,,,,,,,,,,,,
125,1,1,0,,,,,,,,,,,,,,,
126,1,1,1,1,,,,,,,,,,,,,,
127,0,0,0,0,,,,,,,,,,,,,,
128,1,1,1,,,,,,,,,,,,,,,
129,1,,,,,,,,,,,,,,,,,
130,1,,,,,,,,,,,,,,,,,
131,0,,,,,,,,,,,,,,,,,
132,1,,,,,,,,,,,,,,,,,
133,1,1,,,,,,,,,,,,,,,,
134,1,1,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,
137,0,,,,,,,,,,,,,,,,,
138,0,1,1,1,,,,,,,,,,,,,,
139,1,,,,,,,,,,,,,,,,,
