K0,p0,seed,targets_init,targets_remaining,targets_remaining_norm,total_nonlethal_contacts,total_lethal_contacts,total_kills,mean_kills_per_killer,lethal_over_nonlethal_global,lethal_over_nonlethal_per_killer,t_end
1,0.1,66,4000,3135,0.78375,18659,865,865,0.865,0.04635832574092931,0.04657147984024918,59.990583458923666
1,0.2,67,4000,3014,0.7535,18479,986,986,0.986,0.05335786568537258,0.053721283622638095,59.99399294381076
1,0.3,68,4000,3003,0.75075,18399,997,997,0.997,0.05418772759389097,0.05460627163943725,59.99139583580055
1,0.4,69,4000,3000,0.75,18224,1000,1000,1.0,0.05487269534679543,0.055554830193026775,59.99206612691799
1,0.5,70,4000,3000,0.75,18396,1000,1000,1.0,0.05435964340073929,0.054832188094842874,59.99850962500633
1,0.6,71,4000,3000,0.75,18253,1000,1000,1.0,0.0547855147099107,0.05541070390308005,59.99651893662081
1,0.7,72,4000,3000,0.75,18292,1000,1000,1.0,0.054668707631751585,0.05526868732832354,59.983476168336274
1,0.8,73,4000,3000,0.75,18284,1000,1000,1.0,0.05469262743382192,0.05527136052372119,59.99837924024448
1,0.9,74,4000,3000,0.75,18128,1000,1000,1.0,0.05516328331862312,0.055931207152840265,59.99836840723988
1,1.0,75,4000,3000,0.75,18267,1000,1000,1.0,0.054743526577982156,0.05535081778816297,59.985630229709926
2,0.1,76,4000,2588,0.647,18136,1412,1412,1.412,0.07785619761799735,0.07911643767309401,59.99567535092789
2,0.2,77,4000,2139,0.53475,16610,1861,1861,1.861,0.11204093919325707,0.11578062715148627,59.99665393441998
2,0.3,78,4000,2027,0.50675,15758,1973,1973,1.973,0.12520624444726489,0.13130036527370118,59.99524313379159
2,0.4,79,4000,2013,0.50325,14759,1987,1987,1.987,0.13462971746053257,0.14419307546598567,59.99843497236896
2,0.5,80,4000,2002,0.5005,14628,1998,1998,1.998,0.13658736669401148,0.14740219439143587,59.99587458897369
2,0.6,81,4000,2000,0.5,14357,2000,2000,2.0,0.13930486870516123,0.15020857126189943,59.998095449111744
2,0.7,82,4000,2000,0.5,14110,2000,2000,2.0,0.14174344436569808,0.15299875245153882,59.993855390606306
2,0.8,83,4000,2000,0.5,13986,2000,2000,2.0,0.143000143000143,0.15691732231476813,59.9993558227168
2,0.9,84,4000,2000,0.5,13809,2000,2000,2.0,0.14483307987544355,0.15765184813466548,59.99803849598355
2,1.0,85,4000,2000,0.5,13575,2000,2000,2.0,0.14732965009208104,0.160359202467639,59.992553747479
3,0.1,86,4000,2253,0.56325,17574,1747,1747,1.747,0.09940821668373734,0.10210486616496678,59.99338532606327
3,0.2,87,4000,1491,0.37275,14474,2509,2509,2.509,0.17334530882962554,0.18279136028660023,59.99895697691301
3,0.3,88,4000,1233,0.30825,12050,2767,2767,2.767,0.2296265560165975,0.25037913871044676,59.984456832064694
3,0.4,89,4000,1126,0.2815,10397,2874,2874,2.874,0.27642589208425505,0.309304612458405,59.998165206350755
3,0.5,90,4000,1084,0.271,9590,2916,2916,2.916,0.3040667361835245,0.35324716834592995,59.99283165420039
3,0.6,91,4000,1036,0.259,8706,2964,2964,2.964,0.3404548587181254,0.4116626738500577,59.99444210717675
3,0.7,92,4000,1019,0.25475,8014,2981,2981,2.981,0.3719740454205141,0.46545836716057193,59.99826349245238
3,0.8,93,4000,1011,0.25275,7761,2989,2989,2.989,0.3851307821157067,0.4974109248692877,59.98005141835426
3,0.9,94,4000,1003,0.25075,7338,2997,2997,2.997,0.40842191332788225,0.5204024869602759,59.99834316217354
3,1.0,95,4000,1001,0.25025,6890,2999,2999,2.999,0.43526850507982584,0.576129688413119,59.99399316716676
4,0.1,96,4000,2125,0.53125,17452,1875,1875,1.875,0.10743754297501719,0.11078133230288802,59.98673636899079
4,0.2,97,4000,1184,0.296,13261,2816,2816,2.816,0.2123520096523641,0.22770060312494522,59.991721272371365
4,0.3,98,4000,816,0.204,10379,3184,3184,3.184,0.30677329222468447,0.3394727208807704,59.995070972212254
4,0.4,99,4000,559,0.13975,7762,3441,3441,3.441,0.4433135789744911,0.5216778223142172,59.998987912977675
4,0.5,100,4000,474,0.1185,6180,3526,3526,3.526,0.5705501618122978,0.7028020646666507,59.97976321643066
4,0.6,101,4000,378,0.0945,5121,3622,3622,3.622,0.7072837336457724,0.9077352359741023,59.96413753333511
4,0.7,102,4000,319,0.07975,4138,3681,3681,3.681,0.8895601739971001,1.2017947043773491,59.999373549892724
4,0.8,103,4000,278,0.0695,3353,3722,3722,3.722,1.1100507008648972,1.4764749424749426,59.98765068535035
4,0.9,104,4000,233,0.05825,2772,3767,3767,3.767,1.358946608946609,1.7390506195193696,59.988357093425904
4,1.0,105,4000,214,0.0535,2346,3786,3786,3.786,1.6138107416879794,1.8229708168512062,59.920804081585956
5,0.1,106,4000,2139,0.53475,17547,1861,1861,1.861,0.10605801561520488,0.10934520442577716,59.97183704959994
5,0.2,107,4000,1012,0.253,12684,2988,2988,2.988,0.23557237464522232,0.25246979555961757,59.99269905749236
5,0.3,108,4000,550,0.1375,8903,3450,3450,3.45,0.3875098281478153,0.43778163756608024,59.99690098630908
5,0.4,109,4000,377,0.09425,6754,3623,3623,3.623,0.5364228605270951,0.6485308954117777,59.999666972155666
5,0.5,110,4000,226,0.0565,4878,3774,3774,3.774,0.7736777367773677,1.0134812241630422,59.96298207342962
5,0.6,111,4000,151,0.03775,3631,3849,3849,3.849,1.0600385568713853,1.4177605584564348,59.9596063054006
5,0.7,112,4000,95,0.02375,2566,3905,3905,3.905,1.5218238503507404,1.912052940216434,59.799524172582856
5,0.8,113,4000,67,0.01675,1873,3933,3933,3.933,2.0998398291510947,2.3804433868409025,59.98722467771483
5,0.9,114,4000,45,0.01125,1260,3955,3955,3.955,3.138888888888889,2.7588613406795224,59.99637589416736
5,1.0,115,4000,24,0.006,681,3976,3976,3.976,5.838472834067548,3.0613057324840764,59.827643173109706
6,0.1,116,4000,2058,0.5145,17307,1942,1942,1.942,0.11220893280175652,0.11635546978391406,59.99982059689518
6,0.2,117,4000,987,0.24675,12738,3013,3013,3.013,0.23653634793531167,0.25969466052952894,59.98205538484407
6,0.3,118,4000,485,0.12125,8662,3515,3515,3.515,0.4057954283075502,0.46271762331665584,59.98888690120341
6,0.4,119,4000,288,0.072,6075,3712,3712,3.712,0.6110288065843621,0.7525582278832278,59.975702080441124
6,0.5,120,4000,164,0.041,4304,3836,3836,3.836,0.8912639405204461,1.1297554596846813,59.98433070381071
6,0.6,121,4000,82,0.0205,3004,3918,3918,3.918,1.3042609853528628,1.6476532936079862,59.89371927462613
6,0.7,122,4000,47,0.01175,2031,3953,3953,3.953,1.9463318562284588,2.2071804511278192,59.92443282758523
6,0.8,123,4000,27,0.00675,1266,3973,3973,3.973,3.1382306477093205,2.688735316874165,59.91381750038603
6,0.9,124,4000,11,0.00275,717,3989,3989,3.989,5.5634588563458856,3.4059195227985035,59.79363195119623
6,1.0,125,4000,8,0.002,249,3992,3992,3.992,16.032128514056225,4.385815602836879,59.337783047292824
7,0.1,126,4000,2077,0.51925,17228,1923,1923,1.923,0.11162061759925702,0.11686562534472751,59.9984430239849
7,0.2,127,4000,916,0.229,12309,3084,3084,3.084,0.2505483792347063,0.27254631882994884,59.968870937022764
7,0.3,128,4000,448,0.112,8299,3552,3552,3.552,0.42800337390046994,0.5057000233555574,59.9999125245779
7,0.4,129,4000,216,0.054,5692,3784,3784,3.784,0.6647926914968376,0.8400386204603072,59.988332507390446
7,0.5,130,4000,122,0.0305,4096,3878,3878,3.878,0.94677734375,1.2630498576437663,59.843069025248525
7,0.6,131,4000,77,0.01925,2857,3923,3923,3.923,1.3731186559327966,1.7341144817271426,59.86003434466037
7,0.7,132,4000,25,0.00625,1822,3975,3975,3.975,2.181668496158068,2.4237398304602604,59.87918618056931
7,0.8,133,4000,16,0.004,1130,3984,3984,3.984,3.5256637168141594,2.9462660731948564,59.656274053001994
7,0.9,134,4000,5,0.00125,543,3995,3995,3.995,7.357274401473297,3.5166241496598647,57.18382220627142
7,1.0,135,4000,5,0.00125,88,3995,3995,3.995,45.39772727272727,5.662356321839081,56.543212495391195
8,0.1,136,4000,2062,0.5155,17264,1938,1938,1.938,0.11225671918443003,0.11685121947625816,59.992004157229815
8,0.2,137,4000,914,0.2285,12208,3086,3086,3.086,0.2527850589777195,0.2767444877104319,59.9988742835775
8,0.3,138,4000,445,0.11125,8454,3555,3555,3.555,0.4205110007097232,0.4912477230672664,59.98772269130809
8,0.4,139,4000,218,0.0545,5840,3782,3782,3.782,0.6476027397260274,0.8204950293215088,59.999941126841286
8,0.5,140,4000,104,0.026,4091,3896,3896,3.896,0.9523343925690541,1.2518906615099508,59.973541629817255
8,0.6,141,4000,48,0.012,2755,3952,3952,3.952,1.4344827586206896,1.8184901236442148,59.78424201610424
8,0.7,142,4000,34,0.0085,1698,3966,3966,3.966,2.335689045936396,2.453983060886046,59.747426561352235
8,0.8,143,4000,13,0.00325,1043,3987,3987,3.987,3.822627037392138,3.1358838383838386,59.935156675406695
8,0.9,144,4000,8,0.002,487,3992,3992,3.992,8.19712525667351,3.573593073593074,57.41646433658653
8,1.0,145,4000,5,0.00125,38,3995,3995,3.995,105.13157894736842,5.757575757575757,58.62066870686638
9,0.1,146,4000,2070,0.5175,17436,1930,1930,1.93,0.11069052534985088,0.1148435470618133,59.9947844653827
9,0.2,147,4000,890,0.2225,12313,3110,3110,3.11,0.2525785754893202,0.27771728892452574,59.99913328212508
9,0.3,148,4000,398,0.0995,8235,3602,3602,3.602,0.43740133576199147,0.508501325000293,59.99526240313674
9,0.4,149,4000,197,0.04925,5692,3803,3803,3.803,0.6681307097680955,0.8612131327812691,59.895581285775044
9,0.5,150,4000,126,0.0315,4015,3874,3874,3.874,0.9648816936488169,1.258013597288445,59.790515047119044
9,0.6,151,4000,37,0.00925,2702,3963,3963,3.963,1.4666913397483345,1.8440189955763724,59.566945196983184
9,0.7,152,4000,22,0.0055,1680,3978,3978,3.978,2.367857142857143,2.5991990546218484,59.865206232207655
9,0.8,153,4000,15,0.00375,1002,3985,3985,3.985,3.9770459081836327,3.114484752891693,59.76099118282359
9,0.9,154,4000,5,0.00125,498,3995,3995,3.995,8.022088353413654,3.507529610829103,58.28932920964916
9,1.0,155,4000,5,0.00125,10,3995,3995,3.995,399.5,6.5,59.84350327553508
10,0.1,156,4000,2039,0.50975,17304,1961,1961,1.961,0.11332639852057327,0.11756903117522312,59.99420199796482
10,0.2,157,4000,869,0.21725,12238,3131,3131,3.131,0.25584245791796045,0.2832226993165074,59.9923304164088
10,0.3,158,4000,444,0.111,8453,3556,3556,3.556,0.42067904885839347,0.49046664960426567,59.99602546842119
10,0.4,159,4000,191,0.04775,5618,3809,3809,3.809,0.677999288002848,0.8680452897136264,59.97526562616966
10,0.5,160,4000,88,0.022,3762,3912,3912,3.912,1.039872408293461,1.3527999806608053,59.92254027163208
10,0.6,161,4000,51,0.01275,2757,3949,3949,3.949,1.4323540079796881,1.7895147657927208,59.93321672461374
10,0.7,162,4000,12,0.003,1631,3988,3988,3.988,2.445125689760883,2.6404559884559884,59.838232266602276
10,0.8,163,4000,8,0.002,982,3992,3992,3.992,4.065173116089613,3.1887113951011714,59.11470685589707
10,0.9,164,4000,6,0.0015,486,3994,3994,3.994,8.218106995884774,3.4843485617597296,55.41212505673439
10,1.0,165,4000,4,0.001,7,3996,3996,3.996,570.8571428571429,7.083333333333334,59.82368425514981
